,3
0,H
1,H
2,D
3,H
4,A
5,A
6,A
7,A
8,H
9,H
10,H
11,A
12,D
13,A
14,D
15,A
16,H
17,H
18,A
19,A
20,A
21,H
22,D
23,H
24,A
25,H
26,H
27,A
28,A
29,H
30,D
31,A
32,H
33,A
34,A
35,A
36,D
37,A
38,A
39,H
40,D
41,H
42,D
43,H
44,H
45,D
46,H
47,H
48,D
49,H
50,D
51,H
52,D
53,A
54,D
55,A
56,A
57,A
58,H
59,A
60,D
61,D
62,D
63,H
64,A
65,H
66,H
67,H
68,A
69,H
70,H
71,H
72,H
73,H
74,D
75,H
76,A
77,A
78,A
79,D
80,H
81,H
82,D
83,A
84,H
85,A
86,A
87,A
88,D
89,A
90,H
91,A
92,H
93,H
94,A
95,A
96,A
97,A
98,D
99,H
100,D
101,H
102,H
103,D
104,A
105,A
106,H
107,A
108,A
109,H
110,A
111,D
112,D
113,H
114,D
115,H
116,D
117,H
118,A
119,A
120,A
121,H
122,H
123,D
124,A
125,A
126,A
127,D
128,D
129,H
130,H
131,A
132,H
133,D
134,A
135,D
136,A
137,H
138,H
139,D
140,D
141,H
142,H
143,D
144,H
145,A
146,H
147,A
148,A
149,D
150,H
151,D
152,A
153,A
154,A
155,A
156,H
157,H
158,A
159,A
160,D
161,H
162,H
163,H
164,D
165,A
166,A
167,A
168,H
169,D
170,D
171,H
172,H
173,H
174,D
175,D
176,A
177,D
178,D
179,H
180,H
181,D
182,H
183,A
184,H
185,H
186,D
187,A
188,D
189,D
190,D
191,H
192,H
193,A
194,H
195,H
196,H
197,A
198,D
199,H
200,A
201,H
202,H
203,A
204,A
205,H
206,H
207,A
208,H
209,A
210,H
211,D
212,H
213,A
214,A
215,D
216,H
217,D
218,H
219,A
220,A
221,H
222,A
223,H
224,A
225,H
226,A
227,A
228,H
229,H
230,A
231,A
232,A
233,H
234,H
235,D
236,A
237,H
238,A
239,H
240,A
241,A
242,D
243,H
244,H
245,H
246,H
247,D
248,H
249,A
250,A
251,D
252,A
253,H
254,A
255,A
256,H
257,A
258,H
259,H
260,H
261,D
262,A
263,H
264,D
265,H
266,D
267,H
268,H
269,H
270,D
271,H
272,D
273,H
274,D
275,D
276,H
277,H
278,H
279,A
280,A
281,H
282,A
283,A
284,A
285,H
286,H
287,D
288,D
289,H
290,A
291,D
292,H
293,D
294,A
295,D
296,A
297,H
298,H
299,D
300,A
301,A
302,D
303,H
304,D
305,H
306,A
307,D
308,D
309,A
310,H
311,D
312,A
313,A
314,H
315,H
316,H
317,D
318,D
319,D
320,H
321,A
322,D
323,A
324,H
325,H
326,H
327,H
328,H
329,D
330,D
331,D
332,A
333,H
334,A
335,D
336,H
337,H
338,H
339,H
340,H
341,D
342,A
343,H
344,H
345,D
346,A
347,A
348,A
349,A
350,A
351,D
352,H
353,H
354,H
355,H
356,A
357,H
358,A
359,H
360,H
361,H
362,D
363,A
364,H
365,A
366,H
367,H
368,D
369,A
370,H
371,A
372,D
373,H
374,H
375,A
376,H
377,H
378,H
379,A
380,A
381,D
382,H
383,H
384,H
385,D
386,H
387,D
388,H
389,A
390,D
391,D
392,A
393,H
394,A
395,H
396,H
397,H
398,A
399,D
400,H
401,H
402,H
403,H
404,A
405,H
406,H
407,A
408,A
409,H
410,D
411,H
412,A
413,D
414,A
415,H
416,A
417,A
418,D
419,D
420,D
421,A
422,D
423,H
424,D
425,D
426,A
427,H
428,A
429,A
430,A
431,A
432,D
433,H
434,H
435,D
436,H
437,A
438,D
439,H
440,A
441,D
442,D
443,A
444,H
445,D
446,H
447,A
448,A
449,H
450,H
451,D
452,H
453,D
454,A
455,H
456,H
457,D
458,H
459,H
460,H
461,D
462,A
463,H
464,A
465,D
466,D
467,D
468,D
469,H
470,A
471,H
472,H
473,H
474,A
475,D
476,D
477,H
478,D
479,H
480,H
481,A
482,H
483,A
484,A
485,H
486,A
487,D
488,D
489,D
490,D
491,H
492,H
493,D
494,D
495,H
496,A
497,H
498,D
499,D
